ID,Genes
406,"TMC1, DFNB7, DFNB11, DFNA36"
406,"DSPP, DPP, DGI1, DFNA39, DTDP2"
406,"CRYM, DFNA40"
406,"MYH14, KIAA2034, DFNA4"
406,DFNA5
406,"TECTA, DFNA8, DFNA12, DFNB21"
406,"COCH, DFNA9"
406,MYO1A
407,"GJB3, CX31, DFNA2"
410,"TMPRSS3, ECHOS1, DFNB8, DFNB10"
410,"GJB2, CX26, DFNB1, PPK, DFNA3, KID, HID"
410,"CDH23, USH1D"
410,"ATP2B2, PMCA2"
411,"STRC, DFNB16"
412,"USH1C, DFNB18"
412,"TECTA, DFNA8, DFNA12, DFNB21"
412,"OTOA, DFNB22"
412,"PCDH15, DFNB23"
412,"CLDN14, DFNB29"
412,"MYO7A, USH1B, DFNB2, DFNA11"
412,"MYO3A, DFNB30"
412,"WHRN, CIP98, KIAA1526, DFNB31"
413,"MYO15A, DFNB3"
414,ESPN
415,"MYO6, DFNA22, DFNB37"
416,"GJB3, CX31, DFNA2"
416,"SLC26A4, PDS, DFNB4"
417,"PRES, DFNB61, SLC26A5"
418,"TMIE, DFNB6"
418,"TMC1, DFNB7, DFNB11, DFNA36"
420,"TMPRSS3, ECHOS1, DFNB8, DFNB10"
422,"OTOF, DFNB9, NSRD9"
424,"JAG1, AGS, AHD"
425,KIAA1199
426,"GJB6, CX30, DFNA3, HED, ED2"
427,"MYO6, DFNA22, DFNB37"
427,"TIMM8A, DFN1, DDP, MTS, DDP1"
427,"POU3F4, DFN3"
427,"CYP2D@, CYP2D, P450C2D"
427,"PMP22, CMT1A, CMT1E, DSS"
427,"EGR2, KROX20"
427,"PRX, CMT4F"
427,"MPZ, CMT1B, CMTDI3, CHM, DSS"
427,"AANAT, SNAT"
427,"ITM2B, BRI, ABRI, FBD"
427,"ITM2B, BRI, ABRI, FBD"
427,"PSEN1, AD3"
427,"MAPT, MTBT1, DDPAC, MSTD"
427,"SNCA, NACP, PARK1, PARK4"
427,SNCB
427,"MAPT, MTBT1, DDPAC, MSTD"
427,"TNF, TNFA"
427,"CD209, CDSIGN"
427,"RUNX2, CBFA1, PEBP2A1, AML3"
427,DRPLA
427,"CLCN5, CLCK2, NPHL2, DENTS"
427,"DSPP, DPP, DGI1, DFNA39, DTDP2"
427,"DSPP, DPP, DGI1, DFNA39, DTDP2"
427,"DSPP, DPP, DGI1, DFNA39, DTDP2"
427,"OCRL, LOCR, OCRL1, NPHL2"
427,WT1
427,"PDGFB, SIS"
